date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:29	19080/19080	---M--	200	added ('OK')	application/pdf	etag:%22664a2fb6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2015.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2015.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:31	15230/15230	---M--	200	added ('OK')	application/pdf	etag:%22cc3430b6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2017.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2017.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:31	25213/25213	---M--	200	added ('OK')	application/pdf	etag:%2299bf2fb6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2016.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2016.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:32	12752/12752	---M--	200	added ('OK')	application/pdf	etag:%22ffa930b6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2018.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2018.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:32	12698/12698	---M--	200	added ('OK')	application/pdf	etag:%22c028f870275dd21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2019.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2019.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:33	12078/12078	---M--	200	added ('OK')	application/pdf	etag:%22a5456e70275dd21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%202.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%202.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:34	21916/21916	---M--	200	added ('OK')	application/pdf	etag:%2221f830b6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2020.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2020.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:34	15202/15202	---M--	200	added ('OK')	application/pdf	etag:%22709828d07f66d21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2021.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2021.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:35	11204/11204	---M--	200	added ('OK')	application/pdf	etag:%22546d31b6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2022.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2022.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:36	14831/14831	---M--	200	added ('OK')	application/pdf	etag:%2276bb31b6f89ad21:23e1%22	http://www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2023.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/files/2017Laws/PDF/Laws/Law%2023.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
